2025-11-19 12:14:16,484 | DEBUG | 25
2025-11-19 12:14:16,484 | INFO | 26
2025-11-19 12:14:16,484 | WARNING | 27
2025-11-19 12:14:16,485 | ERROR | 28
2025-11-19 12:21:17,833 | DEBUG | 44
2025-11-19 12:21:17,833 | INFO | 45
2025-11-19 12:21:17,834 | WARNING | 46
2025-11-19 12:21:17,834 | ERROR | 47
2025-11-19 12:21:58,038 | DEBUG | 44
2025-11-19 12:21:58,039 | INFO | 45
2025-11-19 12:21:58,039 | WARNING | 46
2025-11-19 12:21:58,040 | ERROR | 47
2025-11-19 16:07:49,729 | INFO | 45
2025-11-19 16:07:49,730 | WARNING | 46
2025-11-19 16:07:49,731 | ERROR | 47
